Depth,BD,LOI,C
0,0.78,71.7895,39.48421053
5,1.062,50.548,27.80138821
10,1.174,20.0496,11.02726263
15,1.188,21.351,11.74305285
20,1.253,6.7172,3.694448923
25,1.013,4.1891,2.304028021
30,1.086,4.6185,2.540192013
35,0.945,4.3692,2.403036194
40,1.039,4.9027,2.696485141
45,0.995,4.8829,2.685595443
50,1.039,5.3918,2.965478083
55,1.129,4.7485,2.61167002
60,1.007,4.7678,2.622315302
65,1.011,6.1657,3.391116942
70,1.091,5.4398,2.991898148
75,0.978,5.5519,3.053552701
80,1.144,8.1431,4.478679505
85,1.039,7.1942,3.956799432
90,0.845,7.3585,4.04714879
95,0.816,6.1964,3.408044507
100,0,0,0
